epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,965.975,1.62838,4.22533,4.53789,1.39973,0.11048,0.09982,0.11545,0.10176,0.08648,0.064,0.07811,0.04144,1.5939,3.92328,4.41995,1.26635,7.50254e-05,7.50254e-05,7.50254e-05
2,1935.58,1.62754,3.66704,3.72963,1.36677,0.65075,0.12249,0.16417,0.12177,0.58804,0.08235,0.10428,0.05469,1.76247,3.7205,3.25498,1.35863,0.000149698,0.000149698,0.000149698
3,2905.05,1.70336,3.54983,2.7852,1.39603,0.52334,0.19646,0.19032,0.1356,0.47017,0.13094,0.12462,0.06623,1.7353,3.67449,2.27268,1.34216,0.000223371,0.000223371,0.000223371
4,3878.93,1.64999,3.50212,2.18134,1.38502,0.47484,0.20893,0.19797,0.14,0.40855,0.13903,0.12739,0.07426,1.63385,3.60125,1.97862,1.31962,0.000222505,0.000222505,0.000222505
5,4861.57,1.54836,3.43377,1.84693,1.35942,0.38639,0.21791,0.21078,0.14796,0.34801,0.14263,0.13609,0.08111,1.59738,3.57291,1.82091,1.29766,0.000221007,0.000221007,0.000221007
6,5863.74,1.4722,3.38589,1.63943,1.32686,0.40321,0.22821,0.22195,0.15504,0.37213,0.15176,0.14778,0.08588,1.55127,3.55047,1.69672,1.28705,0.000219509,0.000219509,0.000219509
7,6867.58,1.42464,3.36721,1.52475,1.31721,0.40041,0.23804,0.23406,0.1653,0.36123,0.16003,0.15356,0.08798,1.5129,3.53375,1.58274,1.26418,0.000218011,0.000218011,0.000218011
8,7872.44,1.39419,3.32448,1.44609,1.30258,0.37426,0.23896,0.23793,0.16795,0.36551,0.15364,0.15378,0.09044,1.49229,3.50305,1.5741,1.24914,0.000216513,0.000216513,0.000216513
9,8861.36,1.36833,3.32219,1.39768,1.29175,0.39285,0.25012,0.24677,0.17149,0.32145,0.16431,0.16068,0.09402,1.48565,3.49382,1.52327,1.23991,0.000215014,0.000215014,0.000215014
10,9844.46,1.3472,3.29032,1.3539,1.2851,0.38442,0.25628,0.25082,0.175,0.33366,0.1738,0.16548,0.09713,1.47758,3.48413,1.48153,1.23682,0.000213516,0.000213516,0.000213516
11,10846.4,1.33511,3.27258,1.32654,1.27868,0.40908,0.2667,0.25563,0.18019,0.31192,0.18043,0.16718,0.09789,1.4606,3.47731,1.47086,1.22561,0.000212018,0.000212018,0.000212018
12,11849.3,1.32381,3.25718,1.30048,1.26958,0.3791,0.27037,0.25704,0.17928,0.29074,0.18652,0.16977,0.09988,1.45227,3.45893,1.43188,1.23221,0.00021052,0.00021052,0.00021052
13,12861.6,1.31069,3.24335,1.27756,1.26195,0.40073,0.25976,0.25852,0.18,0.30246,0.17736,0.16808,0.09952,1.4478,3.43966,1.42614,1.22181,0.000209022,0.000209022,0.000209022
14,13876,1.30397,3.23303,1.26729,1.25847,0.41805,0.25879,0.26469,0.1841,0.34571,0.18337,0.17647,0.10417,1.43126,3.43184,1.40415,1.20963,0.000207523,0.000207523,0.000207523
15,14939.6,1.29668,3.21811,1.24781,1.25335,0.39926,0.271,0.26691,0.18454,0.3007,0.18497,0.17386,0.10342,1.42291,3.40875,1.39163,1.21674,0.000206025,0.000206025,0.000206025
